session_id,t_end,label,r0_bot,r0_top,dr0_bot,dr0_top,r1_bot,r1_top,dr1_bot,dr1_top,r2_bot,r2_top,dr2_bot,dr2_top,r3_bot,r3_top,dr3_bot,dr3_top,r4_bot,r4_top,dr4_bot,dr4_top
S1,1756553750,0,0.891852006,5.338108279,8.137887757,1.24636522,0.705762,4.959647165,-2.064343768,-4.198365399,0.631506136,4.381643527,-1.156364201,-9.001076604,1.119866063,3.905649754,5.665976965,-5.522504212,1.243261839,3.761076973,1.436567607,-1.683109268
S1,1756553751,0,0.705762,4.959647165,-2.064343768,-4.198365399,0.631506136,4.381643527,-1.156364201,-9.001076604,1.119866063,3.905649754,5.665976965,-5.522504212,1.243261839,3.761076973,1.436567607,-1.683109268,0.997647232,4.614683088,-2.850697819,9.907281662
S1,1756553752,0,0.631506136,4.381643527,-1.156364201,-9.001076604,1.119866063,3.905649754,5.665976965,-5.522504212,1.243261839,3.761076973,1.436567607,-1.683109268,0.997647232,4.614683088,-2.850697819,9.907281662,0.554436651,4.960584643,-5.232806983,4.08391891
S1,1756553753,1,1.119866063,3.905649754,5.665976965,-5.522504212,1.243261839,3.761076973,1.436567607,-1.683109268,0.997647232,4.614683088,-2.850697819,9.907281662,0.554436651,4.960584643,-5.232806983,4.08391891,0.574891294,5.160474784,0.255681758,2.498614257
S1,1756553754,1,1.243261839,3.761076973,1.436567607,-1.683109268,0.997647232,4.614683088,-2.850697819,9.907281662,0.554436651,4.960584643,-5.232806983,4.08391891,0.574891294,5.160474784,0.255681758,2.498614257,0.570087713,5.236888389,-0.054742142,0.870817825
S1,1756553755,0,0.997647232,4.614683088,-2.850697819,9.907281662,0.554436651,4.960584643,-5.232806983,4.08391891,0.574891294,5.160474784,0.255681758,2.498614257,0.570087713,5.236888389,-0.054742142,0.870817825,0.55027266,5.20603496,-0.250314301,-0.389756954
S1,1756553756,1,0.554436651,4.960584643,-5.232806983,4.08391891,0.574891294,5.160474784,0.255681758,2.498614257,0.570087713,5.236888389,-0.054742142,0.870817825,0.55027266,5.20603496,-0.250314301,-0.389756954,0.337342556,4.670524596,-2.26521718,-5.696927086
S1,1756553757,1,0.574891294,5.160474784,0.255681758,2.498614257,0.570087713,5.236888389,-0.054742142,0.870817825,0.55027266,5.20603496,-0.250314301,-0.389756954,0.337342556,4.670524596,-2.26521718,-5.696927086,0.94154129,4.217404415,9.034363492,-6.775340943
S1,1756553758,0,0.570087713,5.236888389,-0.054742142,0.870817825,0.55027266,5.20603496,-0.250314301,-0.389756954,0.337342556,4.670524596,-2.26521718,-5.696927086,0.94154129,4.217404415,9.034363492,-6.775340943,0.974935895,4.043575151,0.40219357,-2.093542082
S1,1756553759,0,0.55027266,5.20603496,-0.250314301,-0.389756954,0.337342556,4.670524596,-2.26521718,-5.696927086,0.94154129,4.217404415,9.034363492,-6.775340943,0.974935895,4.043575151,0.40219357,-2.093542082,1.067941946,3.942144087,1.138307344,-1.241421654
S1,1756553760,0,0.337342556,4.670524596,-2.26521718,-5.696927086,0.94154129,4.217404415,9.034363492,-6.775340943,0.974935895,4.043575151,0.40219357,-2.093542082,1.067941946,3.942144087,1.138307344,-1.241421654,0.598414572,4.411133641,-5.078826947,5.073009411
S1,1756553762,0,0.94154129,4.217404415,9.034363492,-6.775340943,0.974935895,4.043575151,0.40219357,-2.093542082,1.067941946,3.942144087,1.138307344,-1.241421654,0.598414572,4.411133641,-5.078826947,5.073009411,0.847702778,4.818568252,3.16973362,5.180586777
S1,1756553763,0,0.974935895,4.043575151,0.40219357,-2.093542082,1.067941946,3.942144087,1.138307344,-1.241421654,0.598414572,4.411133641,-5.078826947,5.073009411,0.847702778,4.818568252,3.16973362,5.180586777,0.876641318,4.905965756,0.445469346,1.345365364
S1,1756553764,1,1.067941946,3.942144087,1.138307344,-1.241421654,0.598414572,4.411133641,-5.078826947,5.073009411,0.847702778,4.818568252,3.16973362,5.180586777,0.876641318,4.905965756,0.445469346,1.345365364,0.366878727,5.351130722,-6.458792447,5.640327805
S1,1756553765,1,0.598414572,4.411133641,-5.078826947,5.073009411,0.847702778,4.818568252,3.16973362,5.180586777,0.876641318,4.905965756,0.445469346,1.345365364,0.366878727,5.351130722,-6.458792447,5.640327805,1.114001795,5.562463483,9.754678723,2.759228402
S1,1756553766,0,0.847702778,4.818568252,3.16973362,5.180586777,0.876641318,4.905965756,0.445469346,1.345365364,0.366878727,5.351130722,-6.458792447,5.640327805,1.114001795,5.562463483,9.754678723,2.759228402,1.038460399,5.37386267,-1.171520517,-2.924882672
S1,1756553767,1,0.876641318,4.905965756,0.445469346,1.345365364,0.366878727,5.351130722,-6.458792447,5.640327805,1.114001795,5.562463483,9.754678723,2.759228402,1.038460399,5.37386267,-1.171520517,-2.924882672,0.992018145,4.84603962,-0.494231468,-5.617013371
S1,1756553768,1,0.366878727,5.351130722,-6.458792447,5.640327805,1.114001795,5.562463483,9.754678723,2.759228402,1.038460399,5.37386267,-1.171520517,-2.924882672,0.992018145,4.84603962,-0.494231468,-5.617013371,1.004390362,4.220047393,0.151789375,-7.680027442
